10523,FB-55611-11,"The slow diffusion of the economic analysis of law into Europe has been much remarked&#x0D; upon in the literature, but the diffusion itself has not, to this point, been&#x0D; made the subject of historical study. The present paper examines the two earliest substantive&#x0D; discussions of economic analysis of law in the British literature and the&#x0D; somewhat unlikely sources from which these discussions emanated. In doing so, it&#x0D; highlights the possibilities and limitations that were seen to attend the application of&#x0D; economic ideas to legal thinking and points to the impediments to a broad acceptance&#x0D; of the economic approach.",,Steven G. Medema,Journal,History of Economic Ideas 23(3 2015): 61-87.,http://www.libraweb.net/articoli.php?chiave=201506103&amp;rivista=61,,,,,"Crossing the Atlantic with Calabresi and Coase: Efficiency, Distribution, and Justice at the Origins of Economic Analysis of Law in Britain",2015
10530,FT-60443-13,"""Disorderly Pasts"" centers on life stories from South Dakota's Canton Asylum, a federal psychiatric hospital for American Indians. Between 1902 and 1933, the Asylum detained nearly four hundred Indigenous men, women, and children from more than fifty Native nations. Focusing especially on the experiences of Menominee people collectively stolen from their homes in Wisconsin to Canton in November 1917, this article exposes contested understandings of kin, diagnoses, and remembering. Complex relationships between the three concepts also emerge: medical diagnoses were used to undermine Indigenous kinship, and they complicate remembering. At the same time, remembering—recalling and repopulating the past—offers a way to challenge pathological diagnoses and affirm Native self-determination.",,Susan Burch,Journal,Journal Of Social History,http://jsh.oxfordjournals.org/cgi/reprint/shw028? ijkey=lSFJzAzzMqvpwOv&amp;keytype=ref,,"Oxford University Press, Journal of Social History",,,"Disorderly Pasts: Kinship, Diagnoses, and Remembering in American Indian-U.S. Histories",2016
10540,RQ-50735-13,"This essay investigates the variant representations of female authority and rebellion in the Franco-Italian Huon d'Auvergne romance-epic manuscript tradition. Taking textual variance as a productive, not obstructive, locus of analysis, this inquiry focuses on one of the more textually unstable episodes of the Huon epic, the resistance of Huon's wife Ynide to king Carlo Martello's consuming passion. Sidestepping concerns about the earliest or best manuscript version of Ynide's defence episode, this essay examines the female protagonist's mutable textual situation within the context of changing ideals of womanly virtue in the fourteenth century.",Subscription,"McCormick, Stephen Patrick",Journal,Italian Studies,http://www.tandfonline.com.ezp.lndlibrary.org/loi/yits20#.V5DlaDWYKAs,Journal site through a library subscription,Taylor &amp; Francis,,,"""'Como fa la foja': Versions of Female Authority in the Huon d’Auvergne Manuscript Tradition.",2015
10541,RQ-50735-13,"La chanson de geste franco-italienne de Huon d'Auvergne se termine, dans deux de ses manuscrits conservés, par un épisode qui semble contraster avec le reste du poème. Alors que sa partie centrale est consacrée au long voyage fantastique que le héros accomplit jusqu'en enfer, la thématique d'une aventure individuelle, détachée de l'Histoire collective, cède la place, dans l'épisode final, à une perspective plus proche de celle des épopées françaises des XIIe et XIIIe siècles, mettant l'accent sur la lutte collective pour la défense de la chrétienté contre les Sarrasins et sur les conflits politiques pour la conquête de la couronne impériale. Mais ce contraste entre une destinée héroïque et le devenir d'une organisation sociale n'est pas la marque d'une incohérence. Il illustre l'opposition entre un idéal clérical de perfection spirituelle et le désordre de l'Histoire et du monde terrestre. Complete citation: Vallecalle, Jean-Claude. « Ordre terrestre ou sainteté : l'épilogue de Huon d'Auvergne. » In Études offertes à  Danielle Buschinger, dir. Florent Gabaude, Jürgen Kühnel et Mathieu Olivier. Publications du Centre d'Études Médiévales de Picardie, 2016, vol. 1, pp. 400-409.",A book that must be purchased or read in a library,"Vallecalle, Jean-Claude",Other,Mélanges Danielle Buschinger,,,C.E.M. Université de Picardie (Amiens),,,« Ordre terrestre ou sainteté : l’épilogue de Huon d’Auvergne. »,2016
10542,FT-56121-08,"Humanities teachers loudly challenge the utilitarian, economic arguments with which administrators justify reducing offerings in our fields. If our profession is to survive, however, we have to convince an even more important constituency: our own students. ""Psittacisme"" designates false learning, the regurgitation of unassimilated culture; ""culture de proximité"", by contrast, designates cultural knowledge with which students readily identify. In order to increase student support for our disciplines, we must avoid the former and exploit the latter; but how? Three recent films set in the school: L'Esquive, Entre les murs, and La Journée de la jupe illustrate the fundamental need to recognize pre-existing student culture when teaching French language and literature to a general public.",Subscritpion,M. Martin Guiney,Journal,The French Review,http://frenchreview.frenchteachers.org/,,The French Review,,,“How (Not) to Teach French: Psittacisme and Culture de Proximité in Three Cinematic Representations of School.”,2013
10543,FT-56121-08,"The discipline of French in North America has long been suffering from declining enrollments, resources, and other challenges. The situation in France is surprisingly similar, with French literature under attack both as a cornerstone of general education at the secondary level, and as an academic discipline at the university level.  The most recent crisis has taken the form of strong negative reaction to changes in the baccalauréat exam that were instituted in 1999.   The future direction of the conflict will affect not only the content and methodology of the discipline, but France's self-image as a nation founded on a common literary culture.",Subscription,M. Martin Guiney,Journal,The French Review,http://frenchreview.frenchteachers.org/,,The French Review,,,“The Literature Problem in the lycée: French Education Debates Today.”,2012
10544,FT-56121-08,"In France and in other countries, the teaching of literature is undergoing fundamental reform. This article explores one type of reform: not one initiated by teachers or administrators, but by outside agencies attempting to make education more supportive of economic growth. One such agency is the Organization for Economic Cooperation and Development, which administers the now-famous PISA test to groups of fifteen-year-olds in dozens of countries. PISA includes literature among the skills that it tests. It is important to know the assumptions about literature that guide the questions asked on the PISA test, in order to understand its influence on the future of literature as a general education subject.",Subscription,M. Martin Guiney,Journal,La Revue de Métaphysique et de Morale (France),https://www.puf.com/collections/Revue de m%C3%A9taphysique et de morale,,La Revue de Métaphysique et de Morale (France),,,« L’Innovation pédagogique par le bas? PISA  et la profanation de l’école-sanctuaire par la mondialisation dans l’enseignement littéraire. »,2014
10555,RZ-51674-14,"Using Airborne LiDAR Survey to Explore Historic-era Archaeological Landscapes of Montserrat in the Eastern Caribbean, Journal of Field Archaeology, 40(5): 523-541.",subscription,"Rachel Opitz, Krysta Ryzewski, John F. Cherry, Brenna Moloney",Journal,Journal of Field Archaeology,http://www.tandfonline.com/doi/abs/10.1179/2042458215Y.0000000016,,Journal of Field Archaeology,,,Using Airborne LiDAR Survey to Explore Historic-era Archaeological Landscapes of Montserrat in the Eastern Caribbean,2015
10557,RZ-51674-14,"Struggles of a Sugar Society: Surveying Plantation-Era Montserrat, 1650-1850, International Journal of Historical Archaeology, 19(2): 356-383.",subscription,"Krysta Ryzewski, John F. Cherry",Journal,International Journal of Historical Archaeology,http://www.tandfonline.com/doi/abs/10.1179/2042458215Y.0000000016,,International Journal of Historical Archaeology,,,"Struggles of a Sugar Society: Surveying Plantation-Era Montserrat, 1650-1850",2015
10568,FB-51967-05,"In this paper I outline and defend an introspectionist account of&#x0D; authoritative self-knowledge for a certain class of cases, ones in which a subject is&#x0D; both thinking and thinking about a current, conscious thought. My account is distinctive&#x0D; in a number of ways, one of which is that it is compatible with the truth of&#x0D; externalism—the view that the contents of subjects' intentional states are individuation-&#x0D; dependent on factors external to their minds. It is thus decidedly anti-&#x0D; Cartesian, despite being introspectionist. My argument proceeds in three stages. A&#x0D; virtue of the position I develop is that the epistemic features on which it is based&#x0D; also apply to sensations and to non-episodic intentional states, to the extent that one&#x0D; has authoritative knowledge of them. However, despite the appeal to analogies with&#x0D; observable properties of objects of perception, the account is not a ‘perceptual'&#x0D; model of such knowledge in the sense that those such as Shoemaker, Burge and&#x0D; others have in mind. Because the features on which the analogy is based are abstract&#x0D; and general, they are not tied to cases of observation alone. Those who appeal to&#x0D; such phenomena as ‘intellectual experience' (Burge, Proceedings of the Aristotelian&#x0D; Society, 96, 91–116, 1996) or ‘intellectual intuition' (Bealer, Philosophical perspectives,&#x0D; Cambridge, MA: Basil Blackwell, 29–55, 1999) in their accounts of&#x0D; authoritative self-knowledge may well appeal to such features. This, amongst other&#x0D; factors, distinguishes the position from other introspectionist ones in a way that&#x0D; makes it immune to standard objections to perceptual models of self-knowledge.",Susbsciption only,Cynthia Macdonald,Journal,Erkenntnis Vol 67 no.2,https://www.jstor.org/stable/i27667918,JSTOR,Springer,,,Introspection and Authoritative Self-Knowledge,2007
10569,FB-51967-05,"Many recent discussions of self-consciousness and self-knowledge assume&#x0D; that there are only two kinds of accounts available to be taken on the relation&#x0D; between the so-called first-order (conscious) states and subjects'&#x0D; awareness or knowledge of them: a same-order, or reflexive view, on the&#x0D; one hand, or a higher-order one, on the other. I maintain that there is a&#x0D; third kind of view that is distinctively different from these two options.&#x0D; The view is important because it can accommodate and make intelligible&#x0D; certain cases of authoritative self-knowledge that cannot easily be made&#x0D; intelligible, if at all, by these other two types of accounts. My aim in this&#x0D; paper is to defend this view against those who maintain that a same-order&#x0D; view is sufficient to account for authoritative self-knowledge.",Susbsciption only,Cynthia Macdonald,Journal,Proceedings of the Aristotelian Society,http://onlinelibrary.wiley.com/doi/10.1111/pash.2008.108.issue-1pt3/issuetoc,Wiley Online,Wiley,,,"Consciousness, Self-Consciousness, and Authoritative Self-Knowledge",2008
10571,FB-51967-05,"It is widely accepted that knowledge of certain of one's own mental states is&#x0D; authoritative in being epistemically more secure than knowledge of the mental states of&#x0D; others, and theories of self-knowledge have largely appealed to one or the other of two&#x0D; sources to explain this special epistemic status. The first, ‘detectivist', position, appeals&#x0D; to an inner perception-like basis, whereas the second, ‘constitutivist', one, appeals to&#x0D; the view that the special security awarded to certain self-knowledge is a conceptual&#x0D; matter. I argue that there is a fundamental class of cases of authoritative selfknowledge,&#x0D; ones in which subjects are consciously thinking about their current,&#x0D; conscious intentional states, that is best accounted for in terms of a theory that is,&#x0D; broadly speaking, introspectionist and detectivist. The position developed has an&#x0D; intuitive plausibility that has inspired many who work in the Cartesian tradition, and&#x0D; the potential to yield a single treatment of the basis of authoritative self-knowledge for&#x0D; both intentional states and sensation states.",Subscription only,Cynthia Macdonald,Journal,Synthese,http://link.springer.com/article/10.1007/s11229-014-0487-1,,Springer,,,"‘In My ‘Mind's Eye’: Introspectionism, Detectivism, and the Basis of Authoritative Self-Knowledge’",2014
10580,FT-53596-05,"In line 2288a of Beowulf, the dragon does something denoted by the verb stincan: ""Þa se wyrm onwoc, / wroht wæs geniwad; stonc ða æfter stane, / stearcheort onfand feondes fotlast...."" (ll. 2287-9) (""When the serpent awoke, anger was renewed; it stonc then æfter stone, the stout-hearted one discovered an enemy's footprint.""). These lines describe the dragon's reactions to its growing awareness of the theft from its hoard, but there is no philological consensus on the meaning of the verb form ""stonc.""  It might mean something like ‘smelled' or ‘sniffed,' a meaning for which it is difficult to find precedent elsewhere in Old English.  On the other hand, it might mean ‘leapt' or ‘moved quickly,' a sense which is hinted at by a number of apparent cognates in Old English and several North Germanic languages. Though it appears innocuous, the line is important because it conditions our perception of the dragon as a creature, rather than simply an elemental force.  In the article, I first consider the linguistic evidence for the meaning of the verbal form stonc; I then look at the line in its narrative context and there find reason for preferring the meaning ‘sniffed'. My consideration of the crux is an occasion to advocate for the importance of controlling linguistic and etymological evidence with close analysis of narrative context.",,Thomas Klein,Journal,Journal of English and Germanic Philology 106.1 (January 2007):  22-44,http://www.jstor.org/stable/27712634?seq=1#page scan tab contents,,University of Illinois Press,,,"Stanc æfter stane (Beowulf, l. 2288):  Philology, Narrative Context, and the Waking Dragon",2007
10583,FT-61131-13,"This essay examines the role and significance of kidnappers of color in the reverse underground railroad, a vast human trafficking network that captured and coffled thousands of free African Americans from Mid-Atlantic states to the Deep South for sale as slaves. This black-market business—of infamous repute in its day, though since largely forgotten—sprang to life soon after the American Revolution as an illicit and illegal corollary to the rise of the domestic slave trade. &#x0D; This essay focuses its attention on the previously unexamined presence of black and mixed-race actors in these kidnapping schemes and explores the context for and motivations of that generation of ""colored kidnappers."" To do so, it places their seemingly unfathomable actions in conversation with the choices made by enslaved informants on southern plantations and those made by the many African Americans who collaborated with bounty hunters and slave catchers to retrieve runaways in this period. &#x0D; It argues that the divisive actions of black kidnappers problematize the historiographical consensus about racial solidarity and political identity within the black community. However, it also documents this same community's simultaneous efforts to publicly denounce, promptly apprehend, and violently punish by extra-legal means the ""treacherous creatures"" "" who abducted their friends, neighbors, and family members. Such activities, it concludes, provided a modest yet formative opportunity for people of color living in border states to respond to the critically important questions of loyalty, authenticity, and kinship raised by the counterfeit kin who lived in their midst—and to forge common cause against them.",subscription,Richard Bell,Journal,Journal of the Early Republic,http://www.shear.org/jer/,,SHEAR,,,"“’Traitorous Brethren’: Black Kidnappers, Kinship, and the Reverse Underground Railroad”",2017
10584,FT-61131-13,"The abduction of free African Americans from cities like Philadelphia and the wholly illegal traffic of such people into the Deep South to be sold as slaves provided exceptional opportunities for women to participate directly in the American interstate slave trade as kidnappers, warehouse managers, and coffle co-captains. The activities of the Cannon-Johnson ring, active in the 1820s, demonstrate how Delaware's Patty Cannon and other female traffickers leveraged kinship relations with male conductors and station agents on this reverse underground railroad in order to secure their own passage through an otherwise treacherous and decidedly homo-social world.",,Richard Bell,Journal,Slavery &amp; Abolition,,,Taylor and Francis,,,"“’Thence to Patty Cannon’s’: Gender, Family, and the Reverse Underground Railroad”",2016
10585,FT-61131-13,"This article offers a critical analysis of the historiography of the domestic slave trade in the 19th-century United States. Surveying a boom in scholarship on the subject over the past 25 years, it examines the political and intellectual currents that have shaped the study of the internal traffic in commodified human flesh and explains this sub-field's debts to ethnography, cliometrics, and Civil-Rights-era social history. It reviews claims regarding the economic impact, social significance, and cultural resonance of the two million slave sales that took place in the United States between the American Revolution and the Civil War and arbitrates recent disputes as to the trade's relationship to slave breeding, the integrity of the Black family, paternalist ideology, and the coming of the Civil War. This brief essay concludes with an assessment of critical needs for future scholarship.",Subscription,Richard Bell,Journal,History Compass,http://onlinelibrary.wiley.com/doi/10.1111/hic3.12114/abstract,,Wiley,,,"“The Great Jugular Vein of Slavery: New Histories of the Domestic Slave Trade,”",2013
10606,FB-56050-12,Historiographic review of Asian American suburban history.,subscription,Becky Nicolaides,Journal,Journal of American Ethnic History,http://www.press.uillinois.edu/journals/jaeh.html,,University of Illinois Press,,,Introduction: Asian American Suburban History,2015
10607,FB-56050-12,"This article explores the social geography of stay-at-home mothers in Los Angeles County, 1950-2000, showing the class and ethnic dimensions of the transformations.",subscription only,Becky Nicolaides,Journal,California History,http://ch.ucpress.edu/,,University of California Press,,,"Map Room: Stay-At-Home Moms in Los Angeles County, 1950-2000",2016
10616,FT-60454-13,"This essay examines the fate of Roman antiquities in the course of the French conquest and colonization of Algeria, a military undertaking that began in July 1830 and resulted in the destruction of significant numbers of ancient remains over the following decades. Although French officials recognized the ideological significance of Roman remains for the French military and colonial venture, military officers who created the earliest museums to house this ancient material faced significant challenges from both the army and European civilian settlers. Roman monuments, while not anticipated as an integral component of the French campaign in North Africa, supplied not only raw materials but the ideological building blocks of an historiographic project that legitimized French presence in the region.",Subscription only,Bonnie Effros,Journal,Journal of the History of Collections,http://jhc.oxfordjournals.org/content/28/2/243.full.pdf+html,Journal of the History of Collections 28.2: 243-259.,Oxford University Press,,,"“Museum-Building in Nineteenth-Century Algeria: Colonial Narratives in French Collections of Classical  Antiquities,”",2016
10629,FT-54309-06,A brief summary of my ongoing research project on Cape Verdeans with Jewish ancestry.,,AlmaGottlieb,Other,2008-2009 Newsletter,http://www.jewishculture.illinois.edu,Main website for the sponsoring university program.,"U of Illinois at Urbana-Champaign, Program in Jewish Culture and Society",http://http://www.jewishculture.illinois.edu/about/newsletter/NewsletterArchive.html,Archive of past newsletters.,Jews in/and/of Africa: New Research in Cape Verde and the Cape Verdean Diaspora,2008
20810,AC-253204-17,"By looking at novels by Norma Cantu and Roberta Fernandez, the essay tackles questions of regional literature and the characteristics of South Texas women's aesthetics.",,Susan L. Roberson,Journal,Southwestern American Literature,http://www.txstate.edu/cssw/publications/sal.html,,Southwestern American Literature,,,"Canicula, Intaglio, and a Feminist Aesthetics of South Texas",2020
20811,AC-253204-17,"By questioning the division between genders and even within genders the novel, Caballero suggests ways to understand the function and purpose of imposed gender roles within the South Texas patriarchy.",subscription,Stephanie Salazar-Amaro,Journal,CCTE Studies,https://cctetx.org,,Conference of College Teachers of English of Texas,,,"""The South Texas Gender Dichotomy in Jovita Gonzalez and Eve Raleigh's Caballero",2019
20822,FEL-267748-20,"This article develops a typology of historical and archival gaps—physical, historiographical, and epistemological—to consider how non-existent sources are central to understanding colonial law and governance. It does so by examining the institutional and archival history of a court known as the Chaudrie in the French colony of Pondichéry in India in the eighteenth century, and integrating problems that are specific to the study of legal history—questions pertaining to jurisdiction, codification, evidence, and sovereignty—with issues all historians face regarding power and the making of archives. Under French rule, Pondichéry was home to multiple judicial institutions, administered by officials of the French East Indies Company. These included the Chaudrie court, which existed at least from 1700 to 1827 as a forum where French judges were meant to dispense justice according to local Tamil modes of dispute resolution. However, records of this court prior to 1766 have not survived. By drawing on both contemporaneous mentions of the Chaudrie and later accounts of its workings, this study centers missing or phantom sources, severed from the body of the archive by political, judicial, and bureaucratic decisions. It argues that the Chaudrie was a court where jurisdiction was decoupled from sovereignty, and this was the reason it did not generate a state-managed and preserved archive of court records for itself until the 1760s. The Chaudrie's early history makes visible a relationship between law and its archive that is paralleled by approaches to colonial governance in early modern French Empire.",Subscription (but currently Open Access),Danna Agmon,Journal,Comparative Studies in Society and History,https://www.cambridge.org/core/journals/comparative-studies-in-society-and-history/article/historical-gaps-and-nonexistent-sources-the-case-of-the-chaudrie-court-in-french-india/6ACB6048C106B58384A13B772CC6C5A9,,Cambridge University Press,,,Historical Gaps and Non-Existent Sources: The Case of the Chaudrie Court in French India,2021
20826,FT-265390-19,"This paper examines the ways that disaster risk information and communication is received, shared, and acted upon by deaf-led organizations in Vi?t Nam, and the nature of deaf organizational participation in disaster risk reduction initiatives. Global indexes rank Vi?t Nam as the 6th highest country in exposure and vulnerability to extreme weather events. Vi?t Nam also demonstrates a high incidence of people with disabilities per capita, who are shown to have lower levels of participation in all social domains including public information and communication. Conducting language-centered original ethnographic research in six deaf organization sites in northern, central, and southern Vi?t Nam, this study engaged semi-structured interviews, group surveys, participant-generated disaster drawings and photographs, and participant observation to identify disaster communication and Disaster Risk Reduction (DRR) practices and challenges. Research findings identified: (i.) deaf people's access to DRR information and communication is extremely limited leading deaf-led organizations to mobilize their own disaster action; (ii.) deaf people have little-to-no access to DRR training, and available training does not reflect deaf culture or local sign languages; (iii.) deaf organizations attribute lack of access to disaster information and resources to government inattention to deaf community needs and contributions; (iv.) deaf organizations share a strong sense of responsibility to train and protect the broader deaf community. Foregrounding recommendations by deaf organization leaders, the paper advocates for establishing sustainable mechanisms for engaging deaf-led organizations in developing disaster communication, DRR training, and in disaster management.",Subscription only,"Audrey C Cooper, Huong Thanh Th? Bùi, Linh Tu?n Nguy?n, Ph?c Kh?c Nguy?n, Thanh Th? Hà Nguy?n, Di?m Phuong N? Phan",Journal,International Journal of Disaster Risk Reduction,http://https://www.sciencedirect.com/science/article/abs/pii/S2212420921005203?dgcid=author,,,,,Deaf-led organizations and disaster communication in Vi?t Nam: Interdisciplinary insights for disability inclusive disaster risk reduction planning,2021
20839,AC-253204-17,"This study analyzes the ambivalent representations of race and region by Cora Montgomery and Jovita González in their respective works: Eagle Pass: Or, Life on the Border (1852) and Dew on the Thorn, written in the 1930s, published in 1997.",subscription,Michelle Johnson Vela,Journal,Journal of South Texas,,,Journal of South Texas,,,“Representations of Otherness in 19th and 20th Century Narratives from the Borderlands.”,2019
20841,PW-264049-19,"Article describing attitudes of US service personnel toward Japanese following the attack against Pearl Harbor and as World War II progressed, using transcriptions of soldiers' commentaries.",Open access (with ads),Edward J.K. Gitre,Magazine,,http://https://www.businessinsider.com/us-troops-surveys-about-japan-war-after-pearl-harbor-attack-2021-12,,Business Insider,,,Uncensored WWII-era surveys show US troops' surprising thoughts about Japan after the attack on Pearl Harbor,2021
20842,PW-264049-19,"Article on racial attitudes and experiences of US service personnel during World War II, drawing on transcriptions of soldiers from digital project, to address contemporary debates about the state of race relations within the armed forces.",Open-access (with ads),Edward J.K. Gitre,Magazine,,https://www.businessinsider.com/uncensored-wwii-surveys-show-us-troops-struggling-with-race-issues-2021-11,,Business Insider,,,The US military is under fire over how it handles race. Uncensored WWII-era surveys show US troops struggling with the same issue 80 years ago,2021
20843,PW-264049-19,"Article highlighting US soldiers' experiences and attitudes during World War II drawn from digital archive, as well as a description of the grantee's project.",,Edward J.K. Gitre,Magazine,,http://theconversation.com/the-american-gi-in-wwii-uncensored-113243,,The Conversation,,,"The American GI in WWII, Uncensored",2019
20854,FEL-273130-21,"After showing discipline's centrality in Kant's pedagogy, I briefly highlight Montessori's alternative and then turn to three fundamental differences between Kant and Montessori that partly explain their divergent accounts. My goal is not to assess whether Kant or Montessori gets the role of discipline ‘right', but to highlight broader stakes of their disagreement and ways deeper features of Kant's psychology and moral theory ground his emphasis on discipline.",subscription,"Frierson, Patrick",Journal,Journal of the Philosophy of Education,https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-9752.12599,,Journal of the Philosophy of Education,,,"1.	“Discipline and the Cultivation of Autonomy in Immanuel Kant and Maria Montessori,”",2021
20860,FN-266288-19,"This paper provides a detailed description and analysis of the clausal organization of Tuparí, a Tupían language that is spoken by approximately 350 people in the Brazilian state of Rondônia. The paper focuses on several interrelated issues that have broader comparative and typological importance, including (a) the distribution of head-initial and head-final phrase structure, (b) the diverse surface realizations of the Tense Phrase, and (c) the distinction between true pronouns and pronoun-like agreement enclitics. Data are drawn from an in-progress corpus of native language texts, everyday conversations and elicited utterances. Differences between Tuparí and the other languages belonging to the Tupían family's Tuparían branch are highlighted at various points for comparative purposes.",subscription journal,Adam Roth Singerman,Journal,Acta Linguistica Academica,https://doi.org/10.1556/2062.2020.00025,DOI link to the article,Akadémia Kiadó,,,"The clausal organization of Tuparí, an indigenous Brazilian language",2020
20861,FN-266288-19,"Tuparí, an indigenous Brazilian language of the Tupían family, has innovated a highly productive finite embedded clause construction that retains the morphosyntactic hallmarks of matrix clauses – without any neutralization in tense or evidentiality. I offer a synchronic analysis of these finite embedded clauses and propose a specific grammaticalization pathway that can account for their diachronic emergence: the clausal nominalizer hè developed out of a homophonous third person pronoun, allowing for paratactic constructions to be reanalyzed as involving true subordination. Both functions of hè (as a pronoun and as a clausal nominalizer) remain in use today, giving rise to occasional ambiguity. An additional aim of this paper is to evaluate the Tuparí facts in light of the literature on the Final-over-Final Condition (FOFC), a proposed syntactic universal. I will show that the language's embedded clauses are unexpected on the most restrictive formulation of FOFC (Holmberg 2000) but can be accommodated without issue once FOFC is restricted to apply within Extended Projections. Situating Tuparí in the broader FOFC typology allows for a more fine-grained understanding of the distribution of the categorial features [+nominal] and [+verbal] in the language's syntax.",Open access,Adam Roth Singerman,Journal,Glossa: a journal of general linguistics,https://www.glossa-journal.org/article/id/5457/,link to the article on the Glossa webpage,Glossa,,,"On finite embedded clauses in Tuparí: their synchrony, diachrony, and typology",2021
20871,FS-261503-18,Clarification of the Myth of the Given,Open Access,James O'Shea,Journal,Synthese,https://doi.org/10.1007/s11229-021-03258-6,,Synthese,,,‘What is the myth of the given?’,2021
20873,FS-261503-18,"Koch employed a Foucauldian method of literary analysis to late 19th, 20th, and early 21st century French, German, and North American (U.S) texts on ‘hermaphroditism' and ‘intersex'. My review of the chapter where she analyzes the work of turn of the 20th century German doctor and gay activist Magnus Hirschfeld is certainly informed by what I learned of 18th and 19th century German discursive practice(s) at the seminar",subscription,Terri Merrick,Journal,Hypatia,,,Hypatia,,,"Review of Michaela Koch Discursive Intersexions: Daring Bodies between Myth, Medicine, and Memoir, by Michaela Koch",2022
20875,FS-261503-18,"A discussion of Hegel's conception of intelligence as a ""space"".",subscription,Willem A. deVries,Journal,International Yearbook of German Idealism,https://doi.org/10.1515/9783110673692-010,,International Yearbook of German Idealism,,,“The Space of Intelligence”,2020
20877,FS-261503-18,"A critical discussion of central themes in A Spirit of Trust: A Reading of Hegel's Phenomenology, by Robert B. Brandom, Cambridge, MA and London, Harvard University Press, 2019.  Three of the central themes in the book – Brandom calls them Hegel's ‘master ideas' (p. 636) – are examined. The first is Brandom's general analysis of Hegel's idealism; the second is the theory of normativity Brandom defends; and the third is Brandom's analysis of the structure of rationality (or as he often calls it, discursive activity).",subscription,Willem A. deVries,Journal,"International Journal of Philosophical Studies,",https://doi.org/10.1080/09672559.2021.1918822,,International Journal of Philosophical Studies (Taylor &amp; Francis),,,“Brandom and A Spirit of Trust”,2021
20888,FS-261503-18,"Abstract: While social epistemology is a diverse field, much of it still understands knowledge as an individual status—albeit an individual status that crucially depends on various social factors (such as testimony). Further, the literature on group knowledge until now has primarily focused on limited, specialized groups that may be said to know this or that as a group. I wish to argue, to the contrary, that all knowledge-attributions ascribe a collective status; and that this follows more or less directly from an essential function of entitlement-ascriptions: Ascriptions of knowledge and entitlement serve a primarily social function in that they facilitate coordination by maintaining consensus around true beliefs, true theories, and truth-producing methodologies. This conclusion will shed light on ways in which traditional theories of knowledge (such as foundationalism and coherentism) fail to capture a central function of our epistemic practice.",in print and on line,Jeremy Koons,Journal,Analytic Philosophy,https://onlinelibrary.wiley.com/doi/full/10.1111/phib.12224,,Analytic Philosophy  (Wiley),,,"“Knowledge as a Collective Status,”",2021
20892,FT-278142-21,"Trent Masiki spent this past summer diving headfirst into studying the influence of African American culture in writings from Afro-Latino and Afro-Latina authors spanning the last century.  ""Scholars in African American literary studies tend not to read into the Latino literary canons, so they miss these relationships,"" says Masiki, an affiliate faculty member at Boston University's Center for Antiracist Research and a fellow at Amherst College.  With support from the National Endowment for the Humanities, Masiki has been researching memoirs produced by first-and second-generation Afro-Latino immigrants, whose memories and recollections often go unseen in the classic canon of African American literature. Black identity in the United States, Masiki's work suggests, is more transcultural, transnational, and Latino than typically remembered historically.",,JESSICA COLAROSSI,Magazine,,https://www.bu.edu/articles/2021/trent-masiki-afroethnic-renewal/,,"Boston University, The Brink",,,Six Afro-Latino Memoirists That You Should Know,2021
20898,FEL-267541-20,encyclopedia entry,subscription only,Ashley D. Farmer,Other,,http://DOI: 10.1093/OBO/9780190280024-0096,,Oxford Bibliographies in African American Studies,,,“Audley Moore.”,2021
20916,RQ-249842-16,"Secrets of Craft and Nature in Renaissance France is the long-awaited output of the Making and Knowing Project.1 Organized by the historian of science Pamela H. Smith, this work presents an exceptionally close reading of the sixteenth-century manuscript Ms. Fr. 640, an anonymous early modern source composed of handwritten entries that pertain to the history of science, art history, and material culture. The original manuscript itself contains over nine hundred individual entries on life casting, medical therapeutics, painting, printing, optics, dye-ing, metal working, counterfeiting, molding, and more.",,Lan A. Li,Journal,,https://www.journals.uchicago.edu/doi/10.1086/715712,,Isis,,,Crafting Digital Histories of Science: A Review and Tour of Secrets of Craft and Nature in Renaissance France,2020
20917,RQ-249842-16,"This essay presents an overview of the Making and Knowing Project and its approach to teaching hands-on history of craft and science through the lens of an early modern manuscript compilation of artisanal recipes. It calls attention to the advantages and challenges of cultivating student skills through an intensive program of problem-based pedagogy, highlights the transformative potential of experiential learning, and introduces the Project's next initiative: a ""Research and Teaching Companion"" to help users integrate exploratory, question-generating experiments into the classroom and project design.",,Tianna Helena Uchacz,Journal,,https://www.journals.uchicago.edu/doi/full/10.1086/711100,,Isis,,,Reconstructing Early Modern Artisanal Epistemologies and an “Undisciplined” Mode of Inquiry,2020
20920,AQ-51099-14,"In recent years, I have cultivated an almost pathological resistance to grading. Here I explore the reasons why and describe how I eventually recovered. In particular, I propose that although grading, or more explicitly, effective assessment of student learning, is a challenging component of a mathematics instructor's job description, reflective use of formative assessment can substantially relieve the pressure, as it allows the instructor to focus on what matters most: student learning and growth. To this end, I describe my experiences with formative assessment in a diverse selection of courses (ranging from calculus to introduction to proofs to mathematics for liberal arts). I conclude that formative assessment can help an instructor move toward a more intentional pedagogical stance, and a more constructive professional identity.",,Gizem Karaali,Journal,"PRIMUS (Problems, Resources, and Issues in Mathematics Undergraduate Studies)",https://doi.org/10.1080/10511970.2018.1456495,The web page for the online version of the article.,Taylor &amp; Francis,,,On Grades and Instructor Identity: How Formative Assessment Saved me from a Midlife Crisis,2018
