9675,RZ-51445-12,"Day-long seminar on Jaffa, including NEH-funded research. Discussion among collaborators and other researchers.","Martin Peilstocker, Aaron A. Burke",03/19/2014-03/20/2014,"Johannes-Gutenberg University, Mainz, Germany.",,,,,Ein Tag (in) Jaffa: Öffentliches Symposium zum kulturellen Erbe der Stadt
9771,AQ-50833-13,"The family—its purpose, conventions, and importance—is a subject of persistent inquiry in the humanities, and its definition varies notably in central texts of the Western intellectual tradition. In historical and contemporary contexts, the family is construed in remarkably differing ways: as alternately natural and artificial; necessary and unnecessary; rational and irrational; civilizing and corrupting; local and global; and primary and subordinate to the public sphere. As the family is variably defined (and enacted) in different eras of Western thought, so too are concepts of human nature, morality, and the state, for change to the former surely leads to interrogations and re-conceptualizations of the latter, and vice-versa. This seminar will offer an examination of these varying conceptions of family, introduce seminar participants to critical analyses of them, and conclude with a discussion on teaching about the family in both textual representations and personal life.",Marjorie Jolles,"October 3, 2013","Newberry Library, Newberry Teachers' Consortium, Chicago, IL",https://www.newberry.org/10032013-family-flux-changing-conceptions-family-theory-and-practice,,,,"""The Family in Flux: Changing Conceptions of the Family in Theory and Practice"""
9833,ES-50571-14,"Lecture series, in conjunction with the South Carolina Humanities festival, that focused on the memory and commemoration of the Civil War and Reconstruction Era in American history and culture.","J. Brent Morris, Orville Vernon Burton, Stephen Wise","June 10-11, 2016","Beaufort, SC",http://schumanities.org/annualevents/humanitiesfestival/,SC Humanities festival,,,Reconstruction Sesquicentennial Lectures
9840,HD-228732-15,"An Intensive 5-Day Seminar, highlighting the application of Lexos to digitized texts.",Michael D.C. Drout.,"December 28, 2014-January 2, 2015 and May 13-15, 2016","Schooling for Life, Los Angeles, CA.",,,,,Beowulf: An Intensive 5-Day Seminar
9871,EH-50429-14,"Medieval texts that exist only in ""unica"" manuscripts","Blurton, Heather, Reynolds, Dwight",05/5-6/2017,UC Santa Barbara,,,,,"What we read now, What they read then"
9914,HD-51768-13,"Grigar, Dene. ""Uncle Buddy &amp; an Argument for Collection."" 2015 Narrative Conference. March 2015; Chicago, IL.",Dene Grigar,March 2015,"Chicago, IL",,,,,Uncle Buddy &amp; an Argument for Collection
9915,HD-51768-13,"Grigar, Dene and Stuart Moulthrop. ""Preserving Literature through Documenting Readers' Experience: The Pathfinders Project."" The Electronic Literature Organization 2014 Conference. July 2014; Milwaukee, WI.","Dene Grigar, Stuart Moulthrop",July 2014,"Milwaukee, WI",,,,,Preserving Literature through Documenting Readers’ Experience: The Pathfinders Project
9916,HD-51768-13,"Grigar, Dene. ""Digital Humanities and Media Studies: Exploring the Intersections."" The 2014 Society for Cinema andMedia Studies. March 2014; Seattle, WA.",Dene Grigar,March 2014,"Seattle, WA",,,,,Digital Humanities and Media Studies: Exploring the Intersections
9927,HK-230916-15,Workshop for Minnesota Pakistani community,Elizabeth Venditto,12/12/2015,"Minneapolis, MN",,,,,Immigrant Stories Digital Storytelling Workshop
9928,HK-230916-15,Digital storytelling workshop for Hmong Museum board members. Finished stories were donated to the Immigrant Stories collection,Elizabeth Venditto,03/12/2016-03/13/2016,"Minneapolis, MN",,,,,Immigrant Stories Digital Storytelling Workshop
9935,LD-234222-16,"This institute provides professional development opportunities for K-16 educators across Minnesota and has two goals. First, participants will learn about Minnesota's migration history in the context of major global migrations. Second, educators will develop the technical skills necessary to create a digital story and to instruct their students in digital storytelling. Beyond these, the Institute strives to give educators the skills necessary for them to help their students tell stories of migration and to achieve global competencies as defined by the US Department of Education.","Erika Lee, Saengmany Ratsabout, Bryan Pekel",06/13/2016 - 06/16/2016,"University of Minnesota, Twin Cities",http://http://igs.cla.umn.edu/outreach/profdev.html,University of Minnesota's Institute for Global Studies Professional Development Programs website that lists all institutes offered from affiliated departments and center.,,,"""Migration and Digital Storytelling"""
9943,EH-50196,"Contemporary globalization brings to the forefront the relation between identity and spatial location; it highlights new and multiple cross-cutting transnational allegiances that bear on central aspects of Jewish identity, which some contemporary writers and researchers have begun to explore and elaborate. The Venice Ghetto raises a range of questions about Modern Jewish Spaces that have played central roles in Jewish and European culture since the Jews were sequestered in the Ghetto at its founding in 1516. The history of the Ghetto, its image and its symbolic resonances have generated different models that have become subtexts of several Modern Jewish Spaces, often implicitly reverted to in desperate Jewish historical moments.",Murray Baumgarten,Summer 2013,Van Leer Jerusalem Institute,,,,,Modern Jewish Spaces in light of the Venice Ghetto
9963,AQ-50223-10,Roundtable discussion on global approaches to the history of science at the Scientiae 2015 meeting in Toronto,"J.B. Shank, Carla Nappi, Robert Morrison, Roger Hart",May 2015,"Scientiae 2015 meeting, Toronto, CA",,,,,Globalizing Scientiae
10091,FB-55612-11,"This workshop brings together scholars from a variety of disciplines who work on diverse aspects of the Vijayanagara Empire. While the field of Vijayanagara studies has enjoyed a long period of productive interdisciplinary collaboration among Indian, European, and North American scholars, this collaboration has tended to focus on the Empire's material culture. This makes sense in light of the Empire's extensive art and architectural remains and the voluminous inscriptional records detailing their political, economic, and social significance. As this research on Vijayanagara continues to develop, additional work in Vijayanagara studies is being done in other fields such as literature and religious studies. We propose to conduct a broader interdisciplinary workshop that will expand the types of collaborations on Vijayanagara. The goals of this workshop would be to introduce new scholars and scholarship to the ""Vijayanagara scholars"" group, and discuss how new findings fit in with previous models. Because the Vijayanagara court's patronage of a variety of economic, cultural, and religious institutions and networks contributed materially to the theoretical and symbolic worlds depicted in the texts, one goal of the proposed conference would be to explore those connections more deeply. Precisely by examining the specific and dynamic links between material and other forms of culture, we might also seek to question the dichotomy between ""textual-based"" scholarship as pertaining to a theoretical, symbolic world and ""artifact-based"" scholarship as pertaining to everyday life.","Valerie Stoker, Ilanit Loewy Shacham, Kathleen Morrison",11/7/15-11/8/15,University of Chicago,https://lucian.uchicago.edu/blogs/vijayanagara/,,,,Symbolic Worlds and Everyday Lives: New Directions in Vijayanagara Research
10110,FT-53978-06,"While scholars have intensively studied Yugoslavia's weaknesses and dissolution&#x0D; (both in the interwar and post-World War II eras) from political and economic&#x0D; perspectives, there has been less work on the issue of cultural cohesion so crucial&#x0D; to Yugoslavism (the Yugoslav idea) as it was conceived and developed in the nineteenth&#x0D; century and elaborated upon during World War I. In particular, there has&#x0D; been little attempt to interrogate the long-term (1918–today) discursive construction&#x0D; of Yugoslav identity by means of collective memory—that is, the selectively&#x0D; shared stories people tell about themselves in order to give meaning to the ‘nation,'&#x0D; a sense of belonging to the ‘national culture.' And yet from the moment Yugoslavia&#x0D; was created, ordinary Yugoslavists began constructing the Sarajevo assassination&#x0D; as a heroic narrative of opposition and liberation that transcended the particularist&#x0D; identities of ethnicity, nation, religion, and history. How did the different Yugoslav&#x0D; regimes and post-Yugoslav political elites respond to these efforts to shape a collective&#x0D; cultural memory around Gavrilo Princip's political murder of the Archduke&#x0D; Franz Ferdinand, heir to the throne of the Austro-Hungarian Empire? What can the&#x0D; various manifestations of this memory and official attitudes towards it tell us about&#x0D; the Yugoslav national project writ large? These are the main themes addressed in&#x0D; my paper.",Paul Miller,"May 15, 2014","Institut für die Wissenschaften vom Menschen (Institute for Human Sciences, Vienna, Austria)",http://www.iwm.at/events/event/yugoslav-eulogies,Institute calendar,,,Yugoslav Eulogies:  The Footprints of Gavrilo Princip
10169,HD-51852-14,Digital storytelling workshop for Wayne State University students,"Sangeetha Gopalakrishnan, Felecia Lucht, Laura Kline, Alina Klin, Julie Koehler, Krysta Ryzewski",2/1/2015,"Wayne State University, Detroit, MI",,,,,Digital Storytelling in the Humanities Workshop
10173,HD-51852-14,"Digital storytelling workshop for students, staff, faculty and community members","Sangeetha Gopalakrishnan, Laura Kline, Alina Klin, Julie Koehler, Krysta Ryzewski",2/19/2016,"Wayne State University, Detroit, MI",,,,,Digital Storytelling in the Humanities Workshop
10176,RZ-51402-11,"27 speakers and panelists (including NEH chairman James Leach) address a wide variety of issues pertinent to the condition and long-term viability of America's great public research universities, including 1) Changing Institutional and Instructional Models; 2) The Role of Public Research Universities in the Total Educational System (including preK-12 and post-secondary, public and private); 3) Costs, Strategic Resource Investment, Finance, and Governance; 4) Student Opportunity: Tuition, Access, Affordability, and Diversity; and 5) Sustaining Excellence in Research, Scholarship, and the Arts.","Daniel Mark Fogel, symposium host","October 10-12, 2012","University of Vermont, Burlington, Vermont",http://www.uvm.edu/~ues/precipice-or-crossroads/,"Site includes a conference overview, participant biographies, written responses to key questions shared by panelists with each other in advance of the meeting, and full-length videos of all public lectures and panel sessions.",,,Precipice or Crossroads: A Symposium on the Future of Public Research Universities
10321,FB-55474-11,"I gave the plenary talk at International Ernest Hemingway Conference, which was held in Oak Park IL in July 2016.",Liesl Olson,"July 18, 2016","Oak Park, IL--Dominican University",,,,,Ernest Hemingway in Chicago
10322,FB-55474-11,"I was invited to the Wolfsonian Museum-Florida International University to discuss the significance of the Chicago designer Will Bradley.  I also led a seminar that focused on the ""little magazines"" of modernism.",Liesl Olson,"March, 2016.","Miami Beach, FLA.",,,,,Modernism and the Ephemeral
10376,RQ-50869-14,Seminar on traveling practices in Ancient Egypt.,Nikolaos Lazaridis,12/2015,"Athens, Greece",http://www.eemaa.eu/news/1612,,,,Caravans and travelers of the desert: ancient inscriptions from the western Egyptian desert
10411,RQ-230464-15,"After a review of some of the online initiatives of the Jonathan Edwards Center that may present resources for digital Native American and Indigenous Studies, this presentation reviews several areas in Edwards' corpus with potential for Native American Studies, including correspondence, sermons, petitions, and miscellaneous documents.",Kenneth P. Minkema,07/29/2015,"Yale University, New Haven, Conn.",,,,,"Workshop: ""Digital Native American and Indigenous Studies""; presentation title: ""“Jonathan Edwards and Native American Sources”"
10546,HB-50471-14,"This invited paper debunks the now wide-spread claim that approaches to concrete evil are committed to a ""gendered"" conception of evil in the world.  By looking at the views of concrete evil held by Mary Astell, Margaret Cavendish, Catharine Macaulay, and Mary Wollstonecraft-- women in the early modern period of philosophy who each are committed attempt to battle concrete, atrocious harm-- today's ethicists can focus on transformative practices to eradicate horrendous evil.",Jill Graper Hernandez,"September 17-18, 2016","University of Massachusetts-Lowell, Society of Analytical Feminism",https://sites.google.com/site/analyticalfeminism/,,,,"""On Un-Gendering Evil: Theodicy and Women in the Early Modern Period"""
10548,HB-50471-14,"This invited paper observes that the success of the atrocity paradigm's problem of evil argument depends upon the transmutativity aspect of atrocities (i.e., that atrocious harms irrevocably negatively alter the great good of the sufferer's life).  I argue that transmutativity cuts both ways, and that existential hope (as conceived by Gabriel Marcel) functions as a transmuted good by restoring dignity to those who suffer.  If hope is a transmuted good, overrides the consequences of atrocious harm, and emerges from a system of goods that cannot be explained by the atrocity paradigm, then the atheist's conclusion that evil ought to be rescued from theism cannot follow.  Existential hope thus serves as a unique response to the problem of evil.",Jill Graper Hernandez,"May 19-21, 2016","Texas A&amp;M University, College Station, TX; Southwest Seminar in Continental Philosophy",http://philosophy.tamu.edu/events/swscp2016/,,,,"""Existential Hope: A Transmuted Goods Reply to the Problem of Evil"""
10549,HB-50471-14,"This invited main-program APA paper argues that early modern women made significant, unique contributions to the philosophy of religion.  Further, I contend that, upon analysis, their views map onto contemporary atheist conceptions of evil while forwarding theodical arguments.  I then conclude by sketching out a framework for a new theory of goods, ""transmuted goods"", which can combat atrocious harm in the world.",Jill Hernandez,"March 30-April 3, 2016","American Philosophical Association Pacific Division (main program), San Francisco, CA",http://c.ymcdn.com/sites/www.apaonline.org/resource/resmgr/Pacific2016/P2016 Meeting Program web.pdf,,,,"""Early Modern (Female) Theodicy, Almost without Apology"""
10550,HB-50471-14,"All ethicists, even atrocity paradigm atheists, want a moral theory to explain why we have positive moral duties to love victims of atrocities.  We should also expect that the atrocity paradigm could account for the ability of some sufferers to recreate meaning in their lives after an atrocity.  The paradigm struggles to do either.&#x0D;  &#x0D; Instead, certain moral goods—goods like forgiveness, altruism, generosity, or kindness-- provide evidence against the paradigm's view that atrocious harms deprive a person from living a tolerable life. This paper argues that love, as a foundational ‘transmuted good' that functions within a part of a correlative moral system, better explains our moral obligation to others, a universal duty to preserve human dignity, and the ability to create meaning after an atrocity. The result is either that the atrocity paradigm is a flawed moral system, or that theism provides a stronger account of moral obligation to prevent atrocity.",Jill Graper Hernandez,May 6-7. 2016,"The Meaning of Love Conference, Biola University (La Mirada, CA)",https://cct.biola.edu/static/media/downloads/the-meaning-of-love-conference-program.pdf,,,,"""Love and Atrocity: Can Transmuted Goods Explain Obligations?"""
10551,HB-50471-14,"This paper reveals an antinomy in existentialist Gabriel Marcel's conception of evil, and argues that Marcel's view of a feeling of hopeful existence is better understood by working through the antinomy.  Although Marcel clearly argues that evil and suffering are facets of our lived experiences in the world, he is much less clear about whether evil is solvable and what the implications of evil's presence in the world are for what can we can reasonably hope for.  In the following, I map out Marcel's conception of evil onto his fundamental distinction between problem and mystery, show that the distinction creates two effective methodologies for dealing with evil in the world (the problem approach and the mystery approach), draw the antinomy of evil based on these methodologies, and then demonstrate that the antinomy can be dissolved through an existentially-engaged, communal encounter with evil.  Dissolving the antinomy facilitates Marcel's vision of transforming the encounter of evil through a love that brings a feeling of hope—for all, regardless of existential or theistic commitment.",Jill Hernandez,"December 3-4, 2015","Queen's College (Flushing, NY), Redemption of Feeling: The Religious Existentialists Conference",http://www.apaonline.org/events/EventDetails.aspx?id=633645,,,,"""Marcel's Hope as a Transmuted Good: A Reply to the Atrocity Paradigm"""
10553,HB-50471-14,"This paper will bridge the gap between the analytic, theodical use of second-personal narratives and the atrocious harm arguments of atheists through a relational narrative account that borrows heavily from Flannery O'Connor's sense of intersubjectivity.  Although the project of using narrative as a way to do theodicy should be preserved, this paper will cast doubt on the ability of second-personal narratives to meet the criticisms of the atrocity paradigm, and will instead suggest that first-person plural standpoint can better rescue narrative as a theodical tool. The conditions of intersubjectivity found within O'Connor require more than mere interconnectedness among characters, and more than seeing others as only ‘others,'  but as intrinsically bound up with the sense of self . The result is such that, for narratives to be efficacious in theodicy, they must facilitate:  a)mutual respect between agents, which is absent between the empowered and the oppressed; b) an univocal relationship between agents when a moral claim is made-- although power relationships are frequently equivocal and, for the oppressed, implicitly threatening; and c) a felicity condition in which the addressee has reason to respond to the claim made by the narrative, even though feminists would argue that such a consideration disproportionately negatively impacts women.",Jill Hernandez,"September 17-19, 2015","Georgia State College, Flannery O'Connor and Other Southern Writers Conference",http://www.gcsu.edu/sites/files/page-assets/node-906/attachments/program.pdf,,,,"""Intersubjectivity and Narrative Theodicy; Atrocity and O'Connor"""
10554,HB-50471-14,"Rather than assess the merits of the contemporary distinction between abstract and concrete evil, then, we can use it to revisit Leibnizian theodicy to answer, first, whether there is textual support in Theodicy for the distinction, and second, if Leibniz's theodicy can justify divine perfection in the face of atrocious harms. Delineating between concrete, particular and concrete, atrocious harms has several benefits for Leibniz scholarship. This allows Leibnizian theodicy to rigorously (rather than incidentally) engage with concrete evil—and so the Theodicy can duck the atheist's contention that it fails to engage with the lived experience of suffering.  My distinction also removes the burden from Leibniz's theodicy to demonstrate that, for each person who suffers, evil contributes to the good whole of the individual's life, since the concrete evils that are explainable by theodicy are a genre, rather than an instance.  Finally, it preserves Leibniz's view that the goodness of God extends to the particular, relative to the whole, if God's best possible world includes a system of goods that can mitigate the system of atrocious harm perpetuated by evil human action.",Jill Hernandez,"July 3-6, 2015","Lampeter Campus of University of Wales, Trinity Saint David",,,,,"""Can Leibniz's Theodicy Account for Atrocious Harm?"""
10559,HB-50471-14,"ABSTRACT: Philosophers of religion have recently argued that second-personal narratives can be an effective theodical tool to defend divine perfection against the problem of evil. What it means to suffer, for example, is best conveyed by a second-personal standpoint, and narratives are able to connote this meaning in a way which resists propositional form.1 Critics—especially atheist feminist proponents of a secularized concept of ‘evil'—contend that theists can never successfully use narrative as a defense against the problem of evil because Scripture fails to speak to those who truly suffer from (especially) atrocious harms, and the narratives are never spoken by them since all of the narrators within the biblical text are men.2 Theologians have been particularly keen to show that narratives can produce theological knowledge3, but this paper will argue that philosophy's theodical use of narrative accounts can bridge the gap between the atrocious harm arguments of contemporary atheists and the epistemic function of theology's second-person standpoint. A caution will be given to philosophers, however: Although the project of utilizing narrative as a way to do theodicy should be preserved, this paper will cast doubt on the ability of second-personal narratives to effectively answer the criticisms elicited by the atrocity paradigm, and will instead suggest that a first-person epistemic standpoint can better rescue narrative as a theodical tool.",Jill Graper Hernandez,"July 16-20, 2014","Berkeley Dominican School of Philosophy &amp; Theology Conference, Berkeley, CA",,,,,"""Narrative and Suffering: the Problem of Standpoint"""
10603,FT-61131-13,None available,Richard Bell,"Apr. 23-25, 2015","McNeil Center for Early American Studies, University of Pennsylvania",,,,,"Conference Co-chair, Human Trafficking in Early America"
10612,FB-56050-12,"This invited lecture explored major trends in suburban diversification since 1970, using illustrative examples from Los Angeles.",Becky Nicolaides,04/22/2016,Georgia Tech,http://smartech.gatech.edu/handle/1853/54764,,,,Globalization and American Suburbia Since 1970
10613,FB-56050-12,"This keynote address of the British Association for American Studies Conference described emerging trends in suburban diversity, using Los Angeles as a rich illustrative example.",Becky Nicolaides,04/20/2013,"University of Exeter, UK",http://humanities.exeter.ac.uk/research/conferences/baas2013/,,,,Keynote address: Stills from L.A.: Reflections on diversity and the remaking of suburban life
10648,BH-50600-13,"Music for Youth and Pequot Library presented Brian Torff and the New Duke Ensemble at their Young Persons' Concert Series on Oct 24th The room was full of enthusiastic Jazz students from local Middle and High schools. Students also came from the Greater Bridgeport Youth Orchestra Jazz Band. It was a wonderful afternoon of music with Brian leading us through the evolution of his original compositions and giving us a history of jazz and blues. The program continued with a master class featuring student ensembles and soloists who were able to get one on one and small group sectional support. The artists enthusiastically reached out to each student giving them guidance, technical support and professional coaching. The students were grateful for this unique opportunity. The master class program ended with all students learning and jamming the C Jam Blues with New Duke Ensemble. It was the perfect way to end the master class. We appreciated the opportunity to feature Brian Torff and the New Duke Ensemble at our Young Persons' Concert Series and can't thank the band enough for their wonderful work with our master class students.",,10/24/2015,"Pequot Library, Southport, CT",,,,,Lecture and Master Class - New Duke
10649,BH-50600-13,"New Duke will be appearing tomorrow at Poetry by the Sea: A Global Conference, will take place from 12 p.m. Tuesday May 26 to 3 p.m. Friday May 29th at The Mercy by the Sea Center, Madison, Connecticut.&#x0D; &#x0D; The 2015 keynote speaker will be Marilyn Hacker.&#x0D; &#x0D; The farewell concert will feature contemporary jazz ensemble New Duke.&#x0D; &#x0D; Visit our faculty page to check out descriptions of workshops and seminars, and meet our world-class faculty. In addition, we have the centenary of Margaret Walker, the tenth anniversary of Mezzo Cammin, a tribute to Claudia Emerson, and panels &amp; readings with speakers such as Robert Polito, Marilyn Nelson, Afaa Michael Weaver, Jill Bialosky, Herman Beavers, Moira Egan, Damiano Abeni, Quincy R. Lehr and many more.",,05/26/2015,"Madison, CT",http://www.poetrybytheseaconference.com/schedule.htm,,,,Poetry Conference by the Sea
10658,FA-52858-07,Invited lecture on my 2016 book by the same title,James Van Horn Melton,4/6/2016,"Department of History, University of Minnesota Twin-Cities",,,,,"Religion, Community, and Slavery on the Colonial Southern Frontier"
10661,FA-52858-07,Examines why German-speaking emigrants to British America were economically successful in the New World.,James Van Horn Melton,9 July 2015,"Lehrstuehl fuer Europaeische Ethnologie und Volkskunde, Universitaet Augsburg",,,,,"Schaffe, schaffe, Siedlung baue: Zur deutschsprachigen Migration nach Nordamerika im 18. Jahrhundert"
10670,EH-50424-14,"Cuban graphic designer Conrado Massaguer's promotional advertisement, featuring a voluptuous Cuban woman holding maracas and boasting the slogan, ""So near and yet so foreign,"" was utilized by the Cuban Tourist Commission in a promotion to its U.S. neighbors in the 1950s. Today, the messages in the&#x0D; promotion are ironically prescient. Normalizing relations between the United States and Cuba has yielded heightened interest among U.S. citizens and already throngs of American tourists have traveled to Cuba, many of whom aim to experience Cuba ""before it changes."" But what will shape their experience? Contemporary theories of tourism embrace the concept of a ""tourist gaze"" as&#x0D; the performative, embodied practices of being a tourist, which are focused on the visual, as well as other sensorial experiences. This panel seeks to address the understudied, though integral, role that design plays in tourism practices. From promotional visual material, to luggage design, to ""indigenous"" crafts, to hotel furniture and landscaping, how does design mediate the tourist experience? How does design normalize the tourist's life back home by creating an experience of an other? Likewise, how does design offer a space for locals to exert agency in negotiating their&#x0D; representation? How does design interrogate the dichotomies that are negotiated in touristic experiences--near/far, familiar/foreign, inclusive/exclusive, comfort/discomfort, authentic/inauthentic? Papers may explore the ways in which design, as experienced by any or all of the senses, has either perpetuated the stereotypes of otherness or has contradicted and counteracted these stereotypes.",Sara Desvernine Reed,02/03/2017,"New York, New York",http://conference.collegeart.org/schedule/,Schedule for the College Art Association Annual Conference,,,"SESSION:  “So Near and yet so foreign: Negotiating Touristic Experience through Design"""
10698,BH-50600-13,"The Essentially Ellington High School Jazz Band Competition &amp; Festival is an annual high school jazz festival and competition that takes place every May at Jazz at Lincoln Center (JALC) in New York City. The festival is aimed at encouraging young musicians to play music by Duke Ellington and other various jazz artists.[1] All festival events are housed at JALC's Frederick P. Rose Hall. The current festival director is Wynton Marsalis, renowned jazz trumpeter and artistic director of Jazz at Lincoln Center.",Chris Behrens,May 2015,Jazz at Lincoln Center,http://academy.jazz.org/ee/,,,,Essentially Ellington
10704,BH-50600-13,"The Essentially Ellington High School Jazz Band Competition &amp; Festival is an annual high school jazz festival and competition that takes place every May at Jazz at Lincoln Center (JALC) in New York City. The festival is aimed at encouraging young musicians to play music by Duke Ellington and other various jazz artists.[1] All festival events are housed at JALC's Frederick P. Rose Hall. The current festival director is Wynton Marsalis, renowned jazz trumpeter and artistic director of Jazz at Lincoln Center.",Chris Behrens,May 2016,Jazz at Lincoln Center,http://academy.jazz.org/ee/,,,,Essentially Ellington
10706,RQ-230510-15,"The digital age has offered new opportunities and challenges for creators and performers of Shakespeare and has recalibrated the position and autonomy of audiences in performance. The twenty-first century technological explosion has also increased the availability of theatrical records and commentaries, encouraging us to contemplate how pedagogy is changing, and how online resources such as Somerset and MacLean's pioneering REED Patrons and Performances database may be used by wider communities to reflect on the early Shakespearean stage.","Penelope Woods, Suzanne Westfall, Siobhan Keenan, Erin Sullivan",16 August 2016,"London, UK",http://www.wsc2016.info/sessions/digital-shakespeare-audiences-and-scholars/,Webpage describing this seminar at the 2016 World Shakespeare Congress.,,,Digital Shakespeare: Audiences and Scholars.
10713,BH-50600-13,"At the Writing Our Lives-Digital Ubuntu conference students shared original works in formats ranging from TED Talks and web mapping to written pieces published on WordPress or BlogSpot. ""The projects were outstanding,"" noted Crandall. ""It was a day where students shared their writing beyond traditional classroom boundaries. They wrote radio plays and political speeches. They designed talks for the stage and stories about their neighborhoods. More importantly, they interacted with young people from other zip codes and questioned the stereotypes of one another's community. Young people have a tremendous amount of power when writing together.""",Bryan Crandall,5/22/2015,"Fairfield, CT",http://educatorinnovator.org/wp-content/uploads/2015/06/5 22 15 Digital Ubuntu Program.pdf,,,,Writing Our Lives
10731,BH-50600-13,"July 18th - 22nd, 2016 | 9 a.m. to 4 p.m.&#x0D; &#x0D; Join hundreds of K-16 educators and premier scholars from across the country for a spectacular ""education vacation"" at the Schomburg Center featuring lectures, interactive workshops, curriculum labs, curator talks and community walks that explore the history and cultures of African Americans and African peoples throughout the Diaspora.  Educators will gain valuable content knowledge and learn inquiry-based approaches to teaching across the grades using the Schomburg's rich primary resource collections on-site and online.",Yohuru WIlliams,07/21/2016,"Schomburg Institute, New York City",https://www.nypl.org/help/about-nypl/fellowships-institutes/black-history-360,,,,Schomburg Summer Education Institute: Encouters with Race in American Art
10732,BH-50600-13,"July 18th - 22nd, 2016 | 9 a.m. to 4 p.m.&#x0D; &#x0D; Join hundreds of K-16 educators and premier scholars from across the country for a spectacular ""education vacation"" at the Schomburg Center featuring lectures, interactive workshops, curriculum labs, curator talks and community walks that explore the history and cultures of African Americans and African peoples throughout the Diaspora.  Educators will gain valuable content knowledge and learn inquiry-based approaches to teaching across the grades using the Schomburg's rich primary resource collections on-site and online. @SchomburgEd  #blackhistory360",Yohuru WIlliams,07/25/2016,,https://www.nypl.org/help/about-nypl/fellowships-institutes/black-history-360,,,,Schomburg Summer Education Institute: Hip Hop Revolution: The Culture and Politics of Rap
10793,RQ-50570-11,"The ""New Jersey: State of Invention"" conference, to run from 1:00 - 5:30 p.m. and conclude with a reception, will feature noted speakers and a variety of perspectives on the continued inventiveness in the Garden State. The featured speaker will be Princess Elettra Marconi Giovannelli, daughter of the famed 20th century Italian scientist and radio inventor Guglielmo Marconi. Other scheduled speakers at the ""State of Invention"" conference include Paul Israel, director of the Edison Papers Project; Mary Chute, New Jersey State Librarian; Sheldon Hochheiser, Institute of Electrical and Electronics Engineers historian; Brian D. Levine, Mayor of Franklin Park, NJ; Marianne Gaunt, Rutgers' Vice President for Information Services and University Librarian; and others. The conference is free and open to the public. It is cosponsored by the Rutgers University Libraries, the Edison Papers Project, and the Classics Department of the School of Arts and Sciences.",,06/28/2013,"Alexander Library, Rutgers University",http://www.libraries.rutgers.edu/news/nj-state-invention-conference-alexander-library-sat-june-28th,,,,New Jersey: State of Invention
10814,RQ-50364-09,"Dr. Israel discusses Edison's early career and the range of places in which he worked. These early experiences directly influenced Edison's most important work at the Menlo Park and West Orange, New Jersey laboratories which drew on and embodied aspects of earlier places in Edison's career.",Paul Israel,11/7/2009,"National Museum of American History, Smithsonian Institution, Washington, DC",,,,,The Role of Place in Thomas Edison's Inventive Career
10901,FB-58325-15,"A Conference to be held at the Graduate Center of the City University of New York and the McNeil Center for Early American Studies of the University of Pennsylvania&#x0D; [February 8-9, 2017]&#x0D; &#x0D; Emancipations, Reconstructions, and Revolutions seeks to gather historians of US politics and African-American life to consider collectively not whether African Americans participated in the politics of the early, ante- and post-bellum republic, but how, when, and with what lasting effects.  It will bring together various historiographical revisions now in process, including the recognition that the Civil War and Reconstruction typify rather than divide the middle period of American history.  We are on the cusp of a new understanding of our national origins, seeing the American Revolution as a violent civil war shaped in large part by slavery and black participation. The Revolutionary settlement of half-slave and half-free thus defines a first Emancipation and first Reconstruction, part of a single ""long"" process beginning in the North and culminating in the South. We believe that our understanding of modern African American and U.S. politics will be fruitfully renovated by rethinking prior emancipations and reconstructions, in ways that do not take for granted the nature and outcomes of revolutions that could easily be described as civil wars followed by reconstructions.","Van Gosse, David Waldstreicher",2016-2017,Graduate Center of CUNY and McNeil Center of the University of Pennsylvania,,,,,"Emancipations, Reconstructions, and Revolutions: African American Politics and U.S. History in the Long 19th Century"
11024,EH-50366-13,Panel organized for the American Literature Association annual conference in May of 2015.,Alison Staudinger,May 2015,"Boston, MA",,,,,"""Reading Race and Political Violence; Flannery O'Connor"""
11039,HD-51640-13,"This is working session about ""Controlled Vocabularies and Aggregated Data"" at the THATCamp associated with the meeting of the College Art Association in 2014. The topic relates to our concerns for ""Project Andvari"" but also will be of wide interest to other scholars working with large databases of art historical material.",Nancy L. Wicker,02/10/2014,"Chicago, Illinois",,,,,THAT Camp CAA: Contolled Vocabularies and Aggregated Data
